genes,firefly rep1,renilla rep1,firefly rep2,renilla rep2,firefly rep3,renilla rep3,firefly rep4,renilla rep4,firefly rep5,renilla rep5,firefly rep6,renilla rep6,firefly_avg,renilla_avg
GPBP1,0.404978879,0.154073754,0.617078082,0.645864908,0.504998147,0.523630433,0.694326066,0.642862145,0.243476236,0.172919098,1.791588657,0.337848012,0.709407678,0.412866392
HCV,0.766387583,0.698822411,1.153118891,0.775779344,0.703648534,0.751650459,0.834074791,0.577618097,0.726718147,0.357610009,0.910718521,0.346438031,0.849111078,0.584653059
PAPPA,0.532336749,0.01431693,0.524725767,0.24489671,0.559548798,0.850874115,0.45173986,0.40350611,0.273105287,0.305994044,0.808806102,0.079973313,0.525043761,0.316593537
KSR2,0.462987252,0.311109728,0.639963852,0.640624561,0.775825606,1.538456361,0.585405051,1.480764608,0.233018092,0.444441255,0.331166705,0.727270023,0.50472776,0.857111089
Tgfb3,0.881351262,0.588654938,1.035975803,0.491534825,0.650730613,0.748821415,0.506559687,0.402012279,0.293335799,0.122157858,2.019002566,0.962260847,0.897825955,0.552573694
Mbd5,0.727269284,0.427821445,1.067486488,0.84849265,1.373847462,2.527950686,1.084115399,1.090769519,0.348626357,0.258147868,0.508354551,0.784148282,0.85161659,0.989555075
Wsb1,0.900180023,0.510949091,1.274391196,0.524416819,0.67000891,6.842597364,0.571565192,0.371225061,0.544990163,0.39514712,1.500555744,0.865682259,0.910281871,1.585002952
Tmem8b,0.384112001,0.308176766,2.274675917,0.523317175,3.992834652,1.364758718,3.055465102,0.830872394,0.362648045,0.216899281,1.165568221,0.667204187,1.872550656,0.65187142
FLRT3,0.17213622,0.104046738,0.621675901,0.412598975,0.296473615,0.489966191,0.217565167,0.455927684,0.187357207,0.271102734,1.714665055,0.566297629,0.534978861,0.383323325
VWC2L,0.865888643,0.910282247,2.163294252,1.079647558,0.365041876,1.438337667,0.334797841,0.634726272,1.012439839,0.624303853,1.902613017,1.053297712,1.107345911,0.956765885
Mapk6,0.724637531,0.609820208,2.317157541,1.432058134,1.34273241,1.324097562,1.010637857,0.779923946,0.708972408,0.465676437,1.345775226,0.66278673,1.241652162,0.879060503
Lrrtm1,0.360771874,0.282017482,0.716166677,0.761697102,0.615129793,0.570825259,0.498307136,0.378946002,0.589002024,0.728042785,1.369809455,0.828854235,0.69153116,0.591730478
Sema3a,0.477735768,0.503237714,1.60119125,1.067864371,0.497073373,0.762370666,0.37366343,0.500172627,0.81896726,0.60995509,0.838223985,0.819255614,0.767809178,0.710476014
Ppp1r10,0.645225191,0.445966244,1.087292054,0.970658993,1.255728543,1.147929691,0.829316294,0.518264569,0.347918536,0.350788498,0.061677451,0.031515326,0.704526345,0.577520554
Zfp608,0.530794757,0.309632465,0.880609523,0.752415393,0.885445947,1.473994441,0.635931832,1.171007612,1.812238362,0.561883123,0.748552814,0.448221434,0.915595539,0.786192411
Plag1,1.062147206,1.086810796,1.448314647,1.019010323,0.708244283,0.705004781,0.580377195,0.384528898,0.467211817,0.256990207,0.65712757,0.441298006,0.820570453,0.648940502
TAOK2,0.046752294,0.004713457,0.740426833,0.695558383,0.506700694,0.300921432,0.307325473,0.237482111,0.099334476,0.147556225,1.214599078,0.591090416,0.485856475,0.329553671
NYAP2,0.387817736,0.25978035,0.990419816,0.434810225,0.506751695,0.556928505,0.336033421,0.458291814,0.225827682,0.192127301,0.749090481,0.635493168,0.532656805,0.422905227
Unc79,0.569673976,0.382084941,1.172732054,0.888885106,1.022275215,1.039959755,0.847109952,0.710685968,0.298485067,0.25425878,0.720817928,0.707053059,0.771849032,0.663821268
Gpr85,0.391988939,0.409038676,1.16803108,0.70265856,0.628388508,0.64727287,0.416815492,0.430733978,0.382873628,0.265582086,0.402532712,0.284026851,0.56510506,0.45655217
Car10,0.216934034,0.454541322,0.272743496,1.261491004,1.521656963,0.527954196,1.572703351,0.725546938,0.6342123,0.402137966,1.391593947,0.637117432,0.934974015,0.668131476
Rorb,0.386540654,0.334743168,0.862189796,0.687049743,1.037131362,1.452056707,0.460462363,0.38213085,0.584166146,0.310296412,1.171829673,0.795197843,0.750386666,0.660245787
Il1rapl1,0.504944197,0.539465993,0.641747077,0.629474477,0.600469608,0.687264045,0.427847237,0.520559869,0.530004594,0.411086734,0.468623153,0.27033487,0.528939311,0.509697665
NOL4 CR,1.48506755,1.060748581,1.456550354,1.219051927,0.58714753,1.070465628,0.658542238,0.663789937,0.822410468,0.447016797,1.177135661,0.785538144,1.0311423,0.874435169
MGAT4C,0.279106348,0.322168565,0.610756159,0.591055916,0.81986864,0.502130824,0.611947477,0.260926769,0.37036803,0.306712579,1.004639069,0.654239448,0.616114287,0.439539017
ACVR2A,0.31343985,0.279672765,0.777908927,0.676919811,0.855567806,1.459111753,0.647207925,0.663329992,0.607355515,0.298823179,0.672429617,0.519291849,0.645651607,0.649524892
Bdnf,0.246054322,0.192688222,0.972932665,0.617331061,0.881754542,0.790668174,0.525856488,0.436517327,0.169050275,0.316481431,0.364460035,1.448854623,0.526684721,0.633756806
Ppp2r5e,0.547522587,0.381263046,1.314948852,0.898267546,1.038835335,0.851730566,0.867793761,0.675166046,0.703112024,0.416014366,0.725373944,0.601455093,0.866264417,0.637316111
Ahdc1,0.568747188,0.392846102,1.375855468,0.917396286,0.877753088,0.692741534,0.66566313,0.483498511,0.662891098,0.430113443,0.990676762,0.731192672,0.856931122,0.607964758
Pcdh10,0.260914941,0.258362199,0.583327891,0.843227002,0.87969438,0.987826364,0.930977271,0.68916165,0.501721717,0.278965078,1.957672505,1.847023469,0.852384784,0.817427627
Gpm6a,0.268284851,0.334927831,0.655774116,0.605905288,0.721152693,1.153721377,0.832942915,0.436853611,0.620706639,0.37492304,0.67234605,0.507225769,0.628534544,0.568926153
Helt,0.63983181,0.394114877,1.456532197,0.840219182,1.432562784,1.443848015,1.148691102,1.201066897,0.412230967,0.237905792,0.947568569,0.763872411,1.006236238,0.813504529
Nacc2,0.616307839,0.654976244,0.954750636,0.886031406,0.548296668,0.986095911,0.496307341,0.462819466,0.289108768,0.271847224,2.344152,1.297431122,0.874820542,0.759866896
D830031N03Rik,0.352241342,0.252309456,0.941471204,0.941904272,1.164623741,1.051182709,0.494207938,0.40400534,1.196459878,0.65708841,1.100019727,0.6605448,0.874837305,0.661172498
Ndp,0.64303769,0.380281372,1.039289585,1.137116647,0.725429527,0.595193664,0.511196071,0.358687517,0.640194212,0.450093632,1.574416446,0.953494025,0.855593922,0.645811143
Eif5,0.724212127,0.488149616,1.888010688,1.312191631,0.599368193,0.400422537,0.582534513,0.315661881,0.34183571,0.181487973,0.514881932,0.737144916,0.775140527,0.572509759
Dlg1,0.79423315,0.95234983,1.268487592,1.159745964,1.137097548,0.805873044,0.706358178,0.447051191,0.927553474,0.425873163,0.508417038,0.716127013,0.89035783,0.751170034
R3hdm1,0.530701766,0.378073682,1.280668747,1.277703417,0.971708186,0.558058374,0.798807801,0.447407768,0.74804531,0.391614693,1.244349791,1.268945101,0.929046934,0.720300506
Plekha7,0.460220962,0.241296026,1.497522413,0.612355937,0.719356203,0.806191237,0.436533379,0.654514682,0.983055735,0.345926485,2.375066103,0.775954591,1.078625799,0.572706493
Cxxc4,0.84165101,0.69172648,1.342907031,1.1681088,0.627059274,0.944537382,0.537973188,0.431633438,0.861994092,0.455553106,1.016000974,0.750801323,0.871264262,0.740393422
EN1,0.500304039,0.725733353,0.737203943,0.515486868,0.489746906,0.346565848,0.315583589,0.176744732,0.173486435,0.297053012,1.286645364,0.407117311,0.583828379,0.411450187
Tsga10,0.912281933,0.479904763,1.391478427,0.718491213,0.237348714,0.821054132,0.211549348,0.572814007,0.262791846,0.176323599,1.000968936,1.166513187,0.669403201,0.65585015
Zc3h6,0.80689613,0.58642797,1.241859404,0.970740985,0.947632531,0.945780626,0.856240706,0.934751694,0.715451299,0.599346212,1.499872312,1.767015019,1.011325397,0.967343751
RUNX2,0.439591747,1.264705104,0.611877022,0.122879794,0.615649718,0.58064419,0.581247592,1.430110591,0.249633494,0.14285297,0.668635929,2.231987299,0.527772584,0.962196658
Pcdh7,0.468985616,0.313880964,1.389208564,1.267917367,0.607706915,0.616220382,0.420727877,0.433392303,0.594333337,0.275897492,1.112932224,1.479020498,0.765649089,0.731054834
Mecom,0.568723617,0.407107236,1.494586217,1.293513382,1.171069608,0.871540479,1.13627774,0.854141509,0.742693623,0.417092685,1.375480155,0.975346119,1.081471827,0.803123568
Pcdh9,0.42907587,0.357024403,0.482043288,0.414810535,0.901566491,0.756624606,0.457787788,0.362304695,0.474326785,0.382040135,1.001768237,1.339170616,0.624428077,0.601995832
B3galt2,0.356014371,0.237340901,1.218319867,0.763291593,0.425679763,1.071918345,0.182873964,0.709858695,0.319529615,0.314699419,1.050001908,0.842323988,0.592069915,0.656572157
NFIB,0.360242087,0.34799023,1.523652263,1,0.3192937,0.370367711,0.380699642,0.237608612,0.245987277,0.20433605,1.961918003,0.561350584,0.798632162,0.453608865
Zfhx4,0.311621701,0.270961921,0.382098693,0.458415896,0.838503076,0.593811505,0.565930915,0.402627574,0.496948091,0.586027355,0.902646358,0.962834592,0.582958139,0.545779807
Trim66,0.356561648,0.228046391,0.9299955,1.191782425,0.878570597,0.431059928,0.672135098,0.364179532,0.756179775,0.472528457,1.421201555,1.341778891,0.835774029,0.671562604
Zbtb38,0.233604377,0.177752902,0.54135478,0.661953322,0.792341919,0.718760332,0.574719937,0.489924102,0.40332137,0.283533236,0.560165468,0.60383897,0.517584642,0.489293811
Tulp4,0.192094536,1.750821872,0.562487085,4.19458989,1.608053644,0.504419257,0.509176716,0.33512436,0.551899289,0.357672075,1.015099967,0.93820416,0.739801873,1.346805269
Sgcz,0.202115091,0.429726128,0.282249495,0.476330973,0.962440246,0.123671727,0.755540178,0.310948258,0.136457846,0.081664247,0.405279245,0.796876587,0.457347017,0.369869653
Grin2b,0.359181139,0.363082429,0.929523217,0.833987018,0.886620429,0.953650465,0.656372684,0.719214773,0.244518678,0.341189806,1.036057407,1.130885376,0.685378926,0.723668311
Bhlhe22,0.479615442,0.431588337,1.143227551,0.619343951,0.600610033,0.514995846,0.533405225,0.369883059,0.528169929,0.494954825,1.024782471,0.62677956,0.718301775,0.50959093
RNF10,0.345398773,0.334464181,0.659356734,0.336971702,0.416296989,0.406379022,0.350207311,0.242052675,0.272943491,0.27321452,2.428315506,0.620284707,0.745419801,0.368894468
Ube3a,0.288469943,0.169483833,0.443944921,0.489976369,0.664927879,0.519838635,0.532583996,0.493556914,0.653934354,0.347251733,1.165158683,0.616451573,0.624836629,0.43942651
TLE4,0.178745687,0.126032093,0.59695385,0.454448383,0.604447102,0.377954941,0.462455999,0.516324469,0.387085887,0.192697795,1.053243132,0.883368272,0.547155276,0.425137659
Fam214b,0.29198959,0.176610471,0.71790496,0.589996833,0.447431967,0.544146202,0.218980157,0.397448523,0.299782991,0.115074807,1.696338201,1.095180982,0.612071311,0.486409636
Asxl3,0.237836684,0.156912549,0.420728724,0.48060582,1.26249485,0.664752905,0.868757661,0.344966551,0.469995701,0.40763748,1.3641671,1.083754671,0.770663453,0.523104996
Hr,0.241982668,0.533089055,0.739287474,0.682614248,0.803514953,0.578253908,0.58989557,0.394187668,0.261880942,0.225174948,1.165475141,1.032568279,0.633672791,0.574314684
Fgf14,0.190955479,0.254458874,0.404177959,0.278359503,0.909046447,0.726769433,0.778040374,0.485603388,0.363643303,0.16340326,1.014512059,0.558398703,0.610062604,0.411165527
Rbms3,0.20134595,0.188243812,0.228030422,0.112214147,0.53821556,0.743758825,0.321347962,0.336579901,0.447083451,0.380910635,1.119462232,0.709994271,0.475914263,0.411950265
S1A9,0.378928912,0.373971396,0.654527598,0.683930007,0.330343067,0.268843938,0.324160933,0.333047345,0.483511597,0.149326985,0.937705203,0.77949524,0.518196218,0.431435819
Brinp1,0.564979912,0.392317638,0.70832834,0.712410182,0.758840192,0.320708298,0.638983488,0.279805064,0.485820215,0.355545986,1.313313721,0.831936971,0.745044311,0.48212069
Rbm10,0.269758481,0.229764299,0.684204918,0.582910394,0.737457979,0.447637095,0.588420028,0.357016686,0.320688743,0.108125101,0.999718958,0.586667496,0.600041518,0.385353512
E2f3,0.734044063,0.601231701,1.614653309,1.907036749,0.975239834,0.530878737,0.800130617,0.425855348,0.523783814,0.339582388,1.920661959,2.006164906,1.094752266,0.968458305
Igf2,0.680596321,0.512316493,1.181226519,0.779647778,1.12408934,0.981849728,0.648499356,0.406908813,0.429473186,0.37692191,1.120728134,0.754025572,0.864102143,0.635278382
Kcnh5,0.662371704,0.455522403,1.720214469,1.016948961,1.034775866,0.400522215,0.640540775,0.274750507,0.502965793,0.177271285,1.541609823,0.770310262,1.017079738,0.515887606
Rarg,0.401569729,0.283915291,0.508034551,0.459414383,1.205582632,0.734019558,0.875489705,0.491422187,0.250141275,0.184930265,1.176020638,0.613024254,0.736139755,0.46112099
Zfp532,1.847793506,2.252321881,2.586818629,2.850055265,0.430000425,0.081042323,0.339826904,0.322809503,0.339427806,0.251456972,1.220419875,0.835167013,1.127381191,1.098808826
NDST4,0.440908768,0.221711564,0.534990104,0.346405641,0.102602556,0.294715629,0.048388294,0.246091383,0.680716178,0.2445285,1.828469665,0.757732359,0.606012594,0.351864179
FIGN,0.373792317,0.278743255,0.508908157,0.671612853,0.325916836,0.512527836,0.145081904,0.293471788,0.639919694,0.315683712,1.179327054,0.601781603,0.528824327,0.445636841
Marcks,0.454791674,0.455947558,1.142142077,1.090910516,0.753614772,0.526756584,0.583485809,0.418871776,0.463393308,0.364080225,0.751158619,0.612791693,0.691431043,0.578226392
Nipbl,0.335239603,0.305730325,0.545502608,0.769215585,0.80724069,0.505340404,0.52749948,0.349321915,0.302855225,0.255565182,1.346866058,1.070118124,0.644200611,0.542548589
Trp63,0.44444321,0.223879929,0.928571429,0.913043478,0.548820209,0.496060771,0.511984138,0.46488076,1.552417409,0.413218506,1.406573039,0.49900389,0.898801572,0.501681222
Sema6a,0.523221493,0.422891427,0.759428133,0.363523902,0.261025831,0.314811784,0.188347138,0.194524171,0.441928656,1.514027765,10.98276102,13.39234731,2.192785379,2.700354393
Mef2c,0.585767721,0.49999082,0.627284817,0.378950717,0.893967881,0.317913996,0.936088441,0.355794857,0.726217472,0.232054971,2.721672452,0.41446272,1.081833131,0.366528014
STOX2,0.271118441,0.434782609,1.092540524,0.645159209,0.525434795,0.603447919,0.465035983,0.827585077,0.403945354,0.373268572,0.858883225,0.967532678,0.602826387,0.641962677
SYTL2,0.090389482,0.500378652,0.165108745,0.52849857,0.656366013,0.435744282,0.672968869,0.266954651,0.555984897,0.303091667,1.116282509,0.463468991,0.542850086,0.416356136
GPR21,0.413425109,0.900683974,0.449972409,0.892188842,1.100205716,0.390552535,0.88892433,0.294369886,0.308264882,0.20285834,1.330996824,0.901517842,0.748631545,0.59702857
Filip1,0.800164934,0.487888629,1.726429106,1.208226144,1.149948608,0.584201656,0.870056497,0.57013866,0.902670097,0.316364105,2.900332448,1.593227045,1.391600282,0.79334104
Med26,0.313649249,0.111647043,0.400895501,0.241371072,0.577581891,0.451967212,0.50129361,0.271328173,0.277403978,0.111457404,0.772828901,0.475461528,0.473942188,0.277205405
Edn1,0.325989002,0.243863165,0.657784666,0.535347771,0.703447635,0.612342651,0.602168253,0.308015913,0.491279831,0.254806954,1.262121351,0.690675786,0.673798456,0.44084204
Foxp2,0.230608708,0.186314605,0.945665724,1.410975042,0.719375155,0.768256003,0.910573403,0.539092823,0.344892375,0.228311633,1.022247092,0.571876831,0.69556041,0.617471156
Neurod6,0.050390424,0.263774227,0.444220706,1.209037186,2.506332508,0.629960154,1.290913779,0.353655749,0.916461262,0.39837234,1.617096809,0.467350301,1.137569248,0.55369166
Grhl2,0.403595031,0.568966729,1.12319073,0.990206149,0.719606462,0.615564383,0.53209714,0.377629359,0.495763799,0.298620574,1.082466806,0.534361544,0.726119995,0.56422479
GABRA1,0.61375181,0.896075402,1.254933378,1.495507588,0.591749337,0.24513315,0.474382941,0.357973028,0.090432795,0.087084249,1.986337651,0.685917893,0.835264652,0.627948552
LRR4C,0.273141826,0.298757407,0.621072979,0.672432786,0.393801802,0.459416519,0.475384111,0.2715666,0.189522567,0.246175147,1.335116376,0.869622514,0.54800661,0.469661829
Nfia,0.636800101,0.538897148,1.623495248,1.166671485,0.679214619,0.461273779,0.551440037,0.270475415,0.478751688,0.277179227,1.870692557,1.120752732,0.973399042,0.639208298
Nrep,0.382287785,0.524680787,0.67393445,0.940048442,0.869855651,0.544385565,0.949089697,0.376780101,0.324026619,0.18321323,0.938993203,0.496353313,0.689697901,0.51091024
Ebf2,0.373032174,0.516438604,0.762582115,0.471845303,1.621646807,0.697956799,1.358753176,0.553572356,0.485196065,0.221382552,3.29859856,1.154286894,1.316634816,0.602580418
Slc5a3,0.135103728,0.103111345,0.367538272,0.328180189,1.289306177,0.511865593,1.611417969,0.528765467,0.517369182,0.225403321,1.323259445,0.421710109,0.873999129,0.353172671
Fgf10,0.040402246,0.719948508,0.0406798,0.830059396,1.706015426,0.724875059,1.988270187,0.492828323,0.707157128,0.297202022,0.928330628,0.653293893,0.901809236,0.6197012
Gm8300,0.23625061,0.692585148,0.627515095,0.651346877,1.480447605,0.417994292,1.507290175,0.313283127,0.911610274,0.218481805,1.924359724,0.857533257,1.114578914,0.525204084
Klf7,1.346976614,0.79721915,4.29305567,4.372322637,0.238954811,0.307709649,0.495089463,0.458818573,0.7169013,0.495718957,0.588285829,0.160521776,1.279877281,1.098718457
Amd1,2.664387601,0.22076527,3.229858796,0.409288773,0.670920375,0.300331083,0.627611612,0.425717666,0.765435162,0.444919218,1.039707959,0.32272843,1.499653584,0.353958407
HCV,0.858209678,0.0549759,1.263126481,0.04907845,1.290446387,0.356732111,0.96253204,0.521371543,0.514028935,0.254435251,0.947445415,0.401684557,0.972631489,0.273046302
PRF,2.820534077,0.023024801,4.384317691,0.084884051,0.454374586,0.246494412,0.427475414,0.27404652,3.92448074,0.582512793,1.672508739,0.246551156,2.280615208,0.242918956
Ddx17,0.799539466,0.274978679,1.761127238,0.664957532,0.597133041,0.336586521,0.476387588,0.37582043,0.573177337,0.361347699,0.78048868,0.384749336,0.831308892,0.399740033
Arhgef9,0.857876981,0.205492905,1.809945959,0.435154165,0.600014165,0.421840691,0.714589765,0.90557484,0.685264303,0.509961898,0.902197075,0.536426756,0.928314708,0.502408543
Nfe2l1,0.194972271,1.403361124,0.289773936,2.076084879,0.901762371,0.248821668,0.605485061,0.30525256,0.369482242,0.212525111,0.792375655,0.269469295,0.525641923,0.752585773
Wdtc1,6.926586517,1.349555576,5.295916188,1.834002757,0.428504396,0.346950567,0.710171801,0.344619794,1.707876773,0.141483707,2.664265575,0.375583497,2.955553542,0.73203265
Tek,0.592591613,1.018017856,0.205478608,8.947662049,0.870352619,0.41178373,0.997964697,0.6789262,0.557930059,0.290837034,0.798715082,0.343108753,0.670505446,1.94838927
Zeb2,0.146442026,0.700329451,0.387903432,1.06395528,0.735075438,0.328505783,0.847173076,0.559202176,0.252306071,0.15988967,0.987889557,0.61417872,0.559464933,0.57101018
Amd2/1,0.337357269,0.143215996,0.225583227,0.209528973,0.521958051,0.69807931,0.569953182,0.474833855,0.607640401,0.386334528,0.87406251,0.591264771,0.522759107,0.417209572
Fezf2,0.402238967,1.193074907,0.347616301,2.975691353,0.582455091,0.341074984,0.711085314,0.470736909,0.675814505,0.539205169,0.761671399,0.359003577,0.58014693,0.979797817
RTKN,0.159251417,10.00012903,0.281197028,26.75075,0.503477198,0.24633115,0.65947968,0.59812712,0.44642238,1.184464229,0.852949901,1.690268228,0.483796267,6.745011626
NCAM1,1.275715362,18.10320999,0.603123767,31.76136,0.501037234,0.25691474,0.678539988,0.51041505,0.297384465,0.264149911,0.553624768,0.81431959,0.651570931,8.61839488
AZIN1,0.888761929,27.19133333,0.291427904,17.22291728,0.656745924,0.598801212,0.773697921,0.454051308,0.821457453,2.362323062,0.567320114,0.979274826,0.666568541,8.134783503
RNF220,0.943208793,39.127,1.618436237,3.696694885,0.602816306,0.139070876,0.694210833,0.402438281,0.689262922,0.438459704,0.867011566,0.326356991,0.90249111,7.355003456
Cntn4,0.022883849,0.110529556,0.007932167,0.285110075,0.456557123,0.29963743,0.665961236,0.590737125,0.486658317,0.274790677,1.013754623,0.408200886,0.442291219,0.328167625
Trib2,0.49636589,0.761120348,1.232391452,1.766820947,0.506698985,0.218868688,0.77457644,0.666836342,0.511427689,0.411357439,0.601271013,0.826110952,0.687121912,0.775185786
Sox6,0.871632855,0.283388121,1.615401432,0.665762453,0.632604091,0.387882414,0.675130441,0.62773016,0.81924438,0.307882875,0.044425822,0.701177066,0.776406504,0.495637182
ELAVL4,4.214321429,3.11304957,3.040012,4.622898045,0.763099099,0.307381929,0.469279191,0.481921334,0.642360445,0.476222173,0.637621396,0.415483211,1.62778226,1.56949271
Col5a2,23.61792227,5.185222222,139.7505379,23.80046667,0.303236533,0.329880621,0.154980733,0.328096339,1.683203368,1.103775854,1.529723821,1.031428855,27.8399341,5.296478427
Ube4b,2.409585901,10.19589088,4.190607388,31.44132,0.72162464,0.279002892,0.787824959,0.835615744,0.582933733,0.957983546,0.826970437,0.97687888,1.586591176,7.44778199
Map2k6,1.992229329,0.288141004,3.552137301,0.480964898,0.539826106,0.310417679,0.423202007,0.336589085,1.534856653,0.61511303,1.758279759,0.495038296,1.633421859,0.421043999
KCNA4,2.663143175,20.63686364,2.986429984,18.28621429,0.481522609,0.49999717,0.546540841,0.438355733,0.351828956,0.583332407,0.624240273,7.554687577,1.27561764,7.99990847
Fgf7,0.991226593,4.682330072,13.77759596,16.14688745,0.506627914,0.34944736,0.734573914,0.460359364,0.624105878,0.466662309,1.038761373,0.274671173,2.945481939,3.730059621
Grik2,0.208969717,0.076576979,0.739332799,0.206176785,0.77885472,0.426442973,0.661568724,0.335407945,0.944689931,0.845152287,1.09932196,0.83919307,0.738789642,0.454825007
Adamts6,0.047737614,0.154382258,0.93700837,0.51498456,0.54806051,0.326185969,0.384251367,0.490006963,1.819717458,0.556268664,0.512930778,0.372961619,0.70828435,0.402465006
Emx2,75.50807692,25.2677,7.074148148,37.76068966,0.612717949,0.239413444,0.435613174,0.382734888,0.626000273,0.392582388,0.484705824,1.300350502,14.12354371,10.89057848
Nfat5,2.500090578,1.472814149,3.032564249,3.367816982,0.841032079,0.340626278,0.953472608,0.93418729,0.837936526,0.719640843,0.892716186,0.584684774,1.509635371,1.236628386
Gpc6,0.808111188,1.812095221,1.4975923,3.227307024,0.490722259,0.267038232,0.470189271,0.40475201,0.423031684,0.460507004,0.61130344,0.536688309,0.716825024,1.118064633
Nkx2-1,0.757428999,0.351843965,1.030853913,0.749995427,0.490770687,0.185036231,0.686963805,0.53681921,0.623733296,0.363236644,0.704729984,0.704858239,0.715746781,0.481964953
Lpar4,1.001142804,0.48661586,1.455259169,0.888770141,0.486335634,0.299553569,0.640350782,0.344057098,0.702960887,0.432236799,0.489761878,0.328177812,0.795968526,0.463235213
Lpar4,0.098374027,1.342149387,1.169176117,2.177285108,0.488015899,0.239611,0.82157384,0.565494203,0.633481765,0.292063626,0.050256518,0.415962311,0.543479694,0.838760939
Nr1d1,0.066032707,0.764934608,0.122320945,1.74619975,0.961914969,0.249527227,1.0010486,0.525066953,1.695296137,1.318115858,1.161358572,0.525732964,0.834661988,0.85492956
Ralyl,0.943194755,1.436706735,1.267361031,1.931706241,0.262584518,0.272729966,0.433500232,0.380353949,1.404507405,0.557442742,1.498983773,0.829815109,0.968355286,0.901459124
Cryab,0.678746647,1.761587024,1.149353166,5.019504665,0.925566464,0.269458742,0.421132419,0.283247188,0.359515166,0.536257353,0.68352793,0.456158432,0.702973632,1.387702234
Zic5,1.735883412,4.558779671,3.609780227,10.600494,0.640850767,0.371771451,0.727813828,0.305839003,0.68298156,0.620282645,0.857397842,1.292889771,1.375784606,2.958342757
Qrich1,3.830443534,1.868528406,4.446503355,2.956765967,0.756541737,0.275682851,0.739764442,0.647593116,0.990481467,0.800842132,0.651922374,0.959374055,1.902609485,1.251464421
Ube4b,1.410271625,0.472725372,2.577405446,2.691381771,0.642519332,0.255937426,0.656254691,0.373049504,0.729706251,0.648297934,1.121219503,0.579952331,1.189562808,0.836890723
Ube4b,3.555368446,0.785792931,2.818331885,2.532188575,0.791853756,0.493517914,0.741758214,0.457191394,0.704903057,0.244864504,0.91545738,0.505309679,1.587945456,0.8364775
Elavl4,0.357128931,5.85318408,1.813057531,18.46744785,0.698220293,0.225353403,0.822535687,0.412848685,0.312209404,0.145716778,0.667009586,0.25992012,0.778360239,4.227411819
S2B6,0.904012169,1.262881192,2.229128973,1.816972594,1.005912493,0.28436029,1.06180643,0.496710125,1.344769034,1.223361974,1.164343726,0.65256094,1.284995471,0.956141186
Ikzf2,0.83069011,0.368598995,0.962534372,0.805205837,0.490001376,0.461404877,0.369564721,0.315481232,1.067999199,0.509036128,0.735117902,0.389162343,0.74265128,0.474814902
Fam19a1,6.46194622,0.226313934,13.86196642,0.337207734,0.58150082,0.1782107,0.510659332,0.248910482,1.178623831,0.385928993,0.681830402,0.330208791,3.879421171,0.284463439
Asxl2,2.306722193,0.865528737,3.754289449,2.408129287,0.536147479,0.264403058,0.513788257,0.222092461,0.475582751,0.317866791,0.756115268,0.540800339,1.3904409,0.769803446
Synpr,2.182004286,0.44649787,2.156710199,0.663106667,0.879677831,0.612224356,0.532601599,0.41763437,0.804827665,0.462905876,0.893969276,0.652868545,1.241631809,0.542539614
Slc22a17,2.170816038,0.364345401,2.056917494,0.265816696,0.276440704,0.174431384,0.582091737,0.390503295,0.509006063,0.346311404,0.621551279,0.604065553,1.036137219,0.357578956
